game_id,platform_id
70,15
70,28
70,29
70,32
71,15
71,21
71,29
72,15
72,20
72,28
72,29
73,15
73,20
73,21
73,28
73,29
74,15
74,20
74,21
74,28
74,29
75,15
75,21
75,29
76,15
76,20
76,28
76,29
77,15
78,14
78,15
78,20
78,21
78,26
78,28
78,29
79,15
79,21
79,22
80,1
80,8
80,14
80,15
80,21
80,29
80,31
80,32
81,2
81,3
81,8
81,15
81,31
81,32
82,8
82,15
82,32
83,15
83,32
84,7
84,15
84,19
84,27
85,15
85,20
85,21
86,15
86,20
86,28
87,15
87,20
87,28
87,32
88,14
88,15
88,20
88,21
88,28
88,29
88,32
89,14
89,15
89,21
89,29
89,32
90,8
90,14
90,15
90,20
90,21
90,28
90,29
91,14
91,15
91,21
91,29
91,32
92,15
92,21
92,29
93,8
93,15
94,15
95,8
95,14
95,15
95,21
95,29
95,32
96,1
96,14
96,15
96,21
96,29
96,31
97,8
97,14
97,15
97,21
97,29
97,32
98,15
98,20
98,28
99,1
99,8
99,15
99,16
99,20
99,28
99,32
100,14
100,15
100,21
100,22
100,29
100,30
101,14
101,15
101,21
101,29
102,1
102,8
102,15
102,20
102,28
102,32
103,8
103,15
103,20
103,28
103,29
103,31
103,32
104,1
104,14
104,15
104,21
104,29
104,31
104,32
105,15
105,20
105,28
106,8
106,14
106,15
106,21
106,32
107,1
107,8
107,14
107,15
107,16
107,21
107,29
107,31
107,32
108,1
108,14
108,15
108,20
108,21
108,28
108,29
108,31
109,8
109,15
109,20
109,28
109,29
109,31
109,32
110,15
110,20
110,28
110,29
111,14
111,15
111,21
111,29
112,15
112,25
112,28
113,15
114,14
114,15
114,21
114,29
115,15
115,20
115,28
115,32
116,15
116,28
116,29
116,31
116,32
117,12
117,15
117,20
117,21
117,25
117,28
117,29
117,32
118,15
118,20
118,21
118,28
118,29
119,12
119,15
119,20
119,25
119,28
119,29
119,31
119,32
120,15
120,21
120,29
121,15
121,21
121,22
121,29
121,30
122,15
122,20
122,26
122,28
122,29
123,15
123,20
123,21
123,28
123,29
124,15
124,20
124,21
124,26
124,28
124,29
125,15
125,21
125,29
